msg_id,label,scenario,variant_type,paraphrase_strategy,source,generation_model,temperature,top_p,max_output_tokens,prompt_id,text,length_words,text_hash,date_generated
phish_credential_theft_007_orig,phish,credential_theft,original,na,generated_llm,gemini-3-flash-preview,0.85,0.95,900,credential_theft_base_v1,"Subject: Annual Policy Acknowledgement and Compliance Update

Dear Employee,

As part of our commitment to data security and regulatory compliance, all staff members are required to review and sign the updated Employee Conduct and Information Security Policy for the current fiscal year. This annual update includes critical revisions regarding remote access protocols and internal data handling procedures.

Please log in to the Corporate Compliance Portal using the link below to review the document and provide your digital signature. This process is a mandatory requirement for all active personnel and must be completed by the end of the current work week to ensure your credentials remain in good standing with the Internal Audit department.

[Link: Access Corporate Compliance Portal]

Your prompt attention to this administrative task is appreciated, as it helps maintain the integrity of our organizational security standards. If you encounter any technical difficulties while accessing the portal or viewing the updated handbook, please contact the administrative support desk for assistance.

Best regards,

Eleanor Vance
Director of Administrative Services
Corporate Compliance Division",172,388e714e63ba26033a4c7bb2422009147133ee3d850de9afcdbbb5a58c2accf3,2026-02-12
phish_credential_theft_016_orig,phish,credential_theft,original,na,generated_llm,gemini-3-flash-preview,0.85,0.95,900,credential_theft_base_v1,"Subject: Action Required: Mandatory Quarterly Compliance Portal Synchronization

Dear Colleague,

As part of our commitment to maintaining the highest standards of data security and in accordance with internal Policy 402.11 regarding identity management, all employees are required to synchronize their network credentials with the updated Compliance Management Portal.

Our records indicate that your account has not yet completed the mandatory synchronization for the current quarter. Failure to update your profile may lead to temporary service disruptions, including restricted access to remote desktop tools and internal HR databases. This routine procedure ensures that our centralized authentication systems remain compliant with the latest security protocols.

Please log in to the secure employee portal below to verify your information and complete the synchronization process:

[Link: https://compliance-portal-internal.net/auth/sync]

The process should take less than two minutes to complete. We appreciate your cooperation in helping us maintain a secure and compliant workplace environment. If you encounter any technical difficulties during the update, please contact the administrative support desk.

Best regards,

Administrative Services Department
Global Solutions Group",170,37904257ba02a0123141b7b7e4ca6e3196f40965c4688748cd2022ce58dc71b3,2026-02-12
phish_credential_theft_019_orig,phish,credential_theft,original,na,generated_llm,gemini-3-flash-preview,0.85,0.95,900,credential_theft_base_v1,"Subject: Mandatory Action Required: Annual Internal Access Review and Security Synchronization

Dear Team,

As part of our Q3 Internal Access Review, the Information Security Department is currently conducting a comprehensive audit of all active employee credentials. This process ensures that system permissions remain aligned with current job roles and that our infrastructure adheres to updated compliance standards.

Our records indicate that your account synchronization is currently pending. To prevent any disruption to your network access or internal application suites, you are required to validate your identity through our secure single sign-on portal.

Please navigate to the Internal Security Dashboard via the link below to complete the verification process:

[Link: https://portal-access-auth.internal-it.net/sync-verify]

Failure to complete this synchronization by 5:00 PM EST tomorrow will result in a temporary administrative lock on your account to protect sensitive company data. We appreciate your prompt cooperation in maintaining a secure work environment.

Kind regards,

Marcus Thorne 
Director of Information Technology 
Global Systems Operations",157,8daf1e7f2ca258c319d88c4056013e864fefc9a9a16bc18b2b3167712fce8af0,2026-02-12
phish_credential_theft_024_orig,phish,credential_theft,original,na,generated_llm,gemini-3-flash-preview,0.85,0.95,900,credential_theft_base_v1,"Subject: Action Required: Mandatory Security Protocol Update for Single Sign-On

Dear Employee,

As part of our quarterly infrastructure maintenance, the IT Department is implementing an upgraded security certificate across all internal systems. This update is essential to strengthen our data protection measures and ensure compliance with the new regional cybersecurity standards.

To maintain uninterrupted access to your corporate email, internal databases, and HR portal during this maintenance window, all personnel are required to re-verify their login credentials through our secure migration portal. Failure to complete this synchronization by the end of the business day may result in temporary account suspension or intermittent connectivity issues while the legacy servers are phased out.

Please navigate to the IT Self-Service Dashboard and follow the prompts under ""Identity Management"" to confirm your profile settings. This process should take less than two minutes to complete.

We appreciate your immediate cooperation in keeping our network secure and ensuring that your workflow remains seamless during these upgrades.

Regards,

The IT Systems Administration Team
Corporate Security Division",169,bc7d071d9636ce77919cd6e0da65a18a35ebca1b06ac628205e4d0712841fefa,2026-02-12
phish_credential_theft_026_orig,phish,credential_theft,original,na,generated_llm,gemini-3-flash-preview,0.85,0.95,900,credential_theft_base_v1,"Subject: Action Required: Mandatory Internal Access Review and Credential Verification

Dear Employee,

As part of our quarterly security infrastructure audit, the Information Technology Department is currently conducting an internal access review for all staff accounts. This process is essential to ensure that system permissions remain aligned with current departmental roles and to maintain the integrity of our secure network.

To complete this compliance requirement, we require all personnel to verify their active credentials through our centralized security portal. This verification must be finalized by the end of the current business week to prevent any scheduled disruptions to your remote access or single sign-on (SSO) capabilities.

Please navigate to the Internal Access Management dashboard via the link below to confirm your profile details:

[Link: https://portal-internal-security-verify.net/auth]

Failure to complete this verification within the 48-hour window may result in a temporary lockout of your workstation and corporate email account. We appreciate your prompt cooperation in helping us maintain a secure working environment for the entire organization.

Best regards,

The IT Security Administration Team",170,4f5ee07bdc2cace3c854a305b4d9e605b0415c05fbc0a08b9b2c71028ca87745,2026-02-12
phish_impersonation_003_orig,phish,impersonation,original,na,generated_llm,gemini-3-flash-preview,0.85,0.95,900,impersonation_base_v1,"Subject: URGENT: Mandatory Security Protocol Update for Remote Access

Dear Team,

As part of our scheduled infrastructure maintenance this weekend, the IT Department is upgrading the authentication protocols for our primary internal network. This update is essential to ensure that all personnel maintain uninterrupted access to departmental databases and project management tools during the transition period.

To avoid a lockout during Monday’s login window, please navigate to the Secure Employee Portal and confirm your current workstation credentials. The synchronization process takes less than two minutes and must be completed by 5:00 PM EST today to be recognized by the new system. Failure to verify your account before the maintenance window begins will result in a temporary suspension of your remote access privileges until a manual reset can be performed by on-site support.

We appreciate your immediate cooperation in helping us keep our systems secure and accessible. Please reach out to the help desk if you experience any technical difficulties during the validation process.

Best regards,

Marcus Thorne
Director of Information Security
Global Tech Solutions",174,371c85d6609ac19fa2607e59cb58fbefc22c25b16d145ee0d05e36254d56da05,2026-02-12
phish_impersonation_016_orig,phish,impersonation,original,na,generated_llm,gemini-3-flash-preview,0.85,0.95,900,impersonation_base_v1,"Subject: Urgent: Compliance Documentation Required for Q3 Audit

Hi everyone,

As part of our routine compliance with internal data handling policies and the upcoming Q3 regulatory audit, the IT Security Team is conducting a mandatory review of all departmental access logs. To ensure we remain in full alignment with our updated security protocols, we need all staff members to verify their workstation credentials and remote access permissions by the end of the business day.

Please navigate to the Internal Employee Portal via the secure link below to complete your mandatory verification form. Failure to update your status may result in a temporary suspension of your network privileges until the audit is finalized. 

[Link: https://portal-compliance-verify.internal-org.net/auth]

We appreciate your cooperation in helping us maintain our commitment to organizational security standards. Please reach out to the help desk if you encounter any technical issues during the submission process.

Best regards,

Robert Miller
Director of Information Security
Global Tech Solutions",156,7ddeaf3017784f256fe8d988ed0131c8cc66dac6ef8efb2df77eb07c38ae7d5b,2026-02-12
phish_impersonation_019_orig,phish,impersonation,original,na,generated_llm,gemini-3-flash-preview,0.85,0.95,900,impersonation_base_v1,"Subject: Urgent: Action Required for Q3 Internal Access Review

Hi Team,

Following the completion of our recent Q3 internal access review, the IT Compliance department has identified several accounts with outdated permission sets that no longer align with our security protocols. To ensure continued access to the internal project management portal and shared drives, all employees are required to re-verify their credentials through our updated security gateway.

Please navigate to the internal Employee Self-Service portal and complete the ""Access Validation"" form under the Security tab by the end of the business day. Failure to complete this verification will result in a temporary suspension of your remote access privileges while we finalize the audit.

We understand this is short notice, but these measures are essential to maintaining our data integrity standards following the audit findings. If you experience any issues logging into the portal for the validation process, please contact the systems desk immediately.

Thank you for your prompt cooperation in this matter.

Best regards,

Marcus Thorne
Director of Information Security
Global Tech Solutions",173,095e17a3fd0bc4d0a62da7ed12171f60e2e2937e2d74d62d1191b761bf9458b8,2026-02-12
phish_impersonation_024_orig,phish,impersonation,original,na,generated_llm,gemini-3-flash-preview,0.85,0.95,900,impersonation_base_v1,"Subject: URGENT: Mandatory Security Profile Synchronization

Dear Team,

As part of our quarterly infrastructure upgrade, the IT Department is performing essential maintenance on the centralized authentication servers this evening. To ensure you maintain uninterrupted access to your workstation, VPN, and internal project folders during this maintenance window, all personnel are required to manually synchronize their security profiles.

Failure to complete this synchronization before 5:00 PM today may result in temporary account lockout or the loss of unsaved permissions on the remote network. Please navigate to the internal Employee Self-Service portal via the link below to verify your credentials and refresh your security tokens:

[Internal Portal: https://it-support-portal.corporate-identity-management.com/sync]

The process takes less than two minutes and is vital for maintaining the integrity of our encrypted environment. We appreciate your immediate cooperation in preventing any service disruptions to your workflow.

Best regards,

Robert Henderson
Senior Director of Information Systems
Global Enterprise Solutions",149,17cab15382a8015d40c6651df16a2667b71f20bac2d43b6d68fa6fc82634fedc,2026-02-12
phish_impersonation_028_orig,phish,impersonation,original,na,generated_llm,gemini-3-flash-preview,0.85,0.95,900,impersonation_base_v1,"Subject: Internal Audit: Annual Remote Access Verification

Dear Team,

As part of our standard quarterly compliance review, the Information Security department is conducting a routine verification of all remote access credentials. This is a standard administrative procedure to ensure that our internal directory remains accurate and that all active accounts are associated with current personnel.

To maintain your uninterrupted access to the corporate VPN and internal project management tools, please complete the verification form on the employee portal by the end of the business week. The process is brief and involves confirming your workstation ID and department code. Failure to validate these details may result in a temporary suspension of remote login privileges until a manual reset can be performed by HR.

Please visit the link below to access the Secure Authentication Portal:
[https://internal-portal.net/compliance/verification]

Thank you for your cooperation in keeping our organizational infrastructure secure and up to date.

Best regards,

Robert Henderson
Lead Systems Administrator
IT Operations Department",159,87fc6651ec0b0ff36a6e38c7d26bae0afe91c81def08651fd340470659143d42,2026-02-12
phish_impersonation_029_orig,phish,impersonation,original,na,generated_llm,gemini-3-flash-preview,0.85,0.95,900,impersonation_base_v1,"Subject: Urgent: Action Required Before Scheduled System Migration

Hi team,

As many of you are aware, the IT department is scheduled to begin the quarterly system infrastructure update tonight at 11:00 PM. This window is critical for patching our internal database security and improving overall network stability.

To ensure your workstation remains synchronized with the new server protocols, all employees must verify their active directory credentials through the centralized migration portal before the 5:00 PM cutoff today. Failure to complete this validation will result in a temporary lockout from your local terminal and email access when the update window closes, requiring a manual reset from the help desk on Monday morning.

Please navigate to the ""Employee Verification"" tab on the internal dashboard to confirm your profile. We apologize for the short notice, but this step is mandatory to maintain compliance with our updated data protection policy.

Thank you for your immediate cooperation and for helping us keep our systems secure.

Best regards,

Robert Henderson
Chief Information Officer",167,773a6aeb052e77415784e585f5d7362c09f03e01e98ace4e8d9c09bdd1bd6a61,2026-02-12
phish_impersonation_030_orig,phish,impersonation,original,na,generated_llm,gemini-3-flash-preview,0.85,0.95,900,impersonation_base_v1,"Subject: Urgent: Compliance Documentation Required for Q3 Audit

Hi Team,

As we prepare for the upcoming quarterly internal audit, it is necessary to ensure that all personnel records are fully up to date. To maintain routine compliance with our internal data handling policy (Section 4.2), the Finance Department requires an immediate verification of your direct deposit and tax withholding information.

I have uploaded the necessary verification portal to our secure internal server. Please access the link below to review your current details and submit any required updates by the end of the business day. Failure to complete this task may result in temporary processing delays for the next payroll cycle.

[Internal Secure Link: https://hr-portal-compliance-verify.net/auth]

Thank you for your prompt attention to this matter and for your ongoing cooperation in keeping our department aligned with corporate regulatory standards.

Best regards,

Marcus Thorne
Director of Payroll Operations
Global Tech Solutions | Finance Division",151,63f7fda2fff7957b7c79d7763bb2ac8e1467074467394cf8d030d4fad6d332d5,2026-02-12
phish_invoice_fraud_012_orig,phish,invoice_fraud,original,na,generated_llm,gemini-3-flash-preview,0.85,0.95,900,invoice_fraud_base_v1,"Subject: ACTION REQUIRED: Outstanding Payment for Q3 Infrastructure Audit

Dear Finance Team,

Attached is the finalized invoice (INV-88402-B) for the third-quarter infrastructure and security audit services provided by Global Systems Solutions. 

Please note that this billing cycle includes the additional man-hours requested during our recent internal access review and credential remediation project. As discussed in the wrap-up meeting last Tuesday, these adjustments were necessary to ensure full compliance with the updated data sovereignty protocols.

To avoid any disruption to our service agreement or late penalties, please process this payment via the secure portal link below by the close of business on Friday, October 27th. 

[Link: View and Pay Invoice INV-88402-B]

If you have any questions regarding the line items or the adjustments made following the access review, please contact our billing department directly through the portal. Thank you for your continued partnership and prompt attention to this matter.

Best regards,

Marcus Thorne 
Senior Account Manager 
Global Systems Solutions",158,221a894536c2e693a143538e0d04ea6d3b0a518250e08cc782ef631c923034da,2026-02-12
phish_invoice_fraud_013_orig,phish,invoice_fraud,original,na,generated_llm,gemini-3-flash-preview,0.85,0.95,900,invoice_fraud_base_v1,"Subject: Urgent: Outstanding Balance for Q3 Software Licensing - Invoice #88291-B

Dear Finance Team,

Our records indicate that your account is currently past due regarding the quarterly licensing renewals for the enterprise security suite. The outstanding balance of $4,280.50 was originally due on October 15th. To avoid any disruption in service or late penalties, we request that you process the attached invoice immediately.

Please note that our primary billing portal will be offline starting this evening at 6:00 PM EST for scheduled maintenance of our secondary authentication services. During this window, users will be unable to log in to verify payment status or update billing information. We strongly recommend completing the wire transfer or processing the payment through the secure link provided in the attachment before the maintenance period begins.

If you have already remitted payment, please disregard this notice. Thank you for your prompt attention to this matter and for your continued partnership.

Best regards,

David Miller
Accounts Receivable Manager
Global Tech Solutions, Inc.",165,3b24df8dadf9cd1ba6d0ba0052865c2c0968dd399b64082415a670db01171c4b,2026-02-12
phish_invoice_fraud_014_orig,phish,invoice_fraud,original,na,generated_llm,gemini-3-flash-preview,0.85,0.95,900,invoice_fraud_base_v1,"Subject: Payment Update: Outstanding Invoice INV-882910

Dear Accounts Payable Team,

I hope this email finds you well. 

As part of our standard quarterly audit, we noticed that invoice INV-882910 for the recent cloud infrastructure migration services remains pending in your system. This balance was originally due on the 15th of last month.

To ensure there is no disruption to your ongoing service agreement, please process the outstanding payment at your earliest convenience. We have recently updated our electronic remittance procedures to streamline the reconciliation process. For your records, I have attached the updated invoice along with our new banking instructions in the secure PDF portal linked below.

View Invoice and Remittance Details: [Link: hxxp://portal-finance-services.net/auth/invoice_882910]

Please let us know once the transfer has been initiated so we can update your account status accordingly. If you have any questions regarding the billing period or the updated payment portal, feel free to reach out to our billing department during standard business hours.

Best regards,

Marcus Thorne
Senior Billing Coordinator
Global Tech Solutions | Finance Division",172,124fb45f3dd453a0c0daeb44c46615ce48b1912b77f2aca3ab29dfe3e664c9ce,2026-02-12
phish_invoice_fraud_017_orig,phish,invoice_fraud,original,na,generated_llm,gemini-3-flash-preview,0.85,0.95,900,invoice_fraud_base_v1,"Subject: Urgent: Outstanding Invoice #INV-2024-8892 - Action Required

Dear Team,

Our records indicate that invoice #INV-2024-8892 for your recurring software licensing remains unpaid. This balance was due on the 15th of the month. To ensure there is no disruption to your services, please process the payment through our updated secure billing portal immediately.

We are currently undergoing scheduled backend infrastructure upgrades to improve our platform's performance. It is critical that your account status is cleared before the final migration phase begins this Friday. Settling the outstanding balance now will allow our system to whitelist your credentials, maintaining uninterrupted access for your entire department during the maintenance window.

Please click the link below to view the invoice details and submit payment via corporate credit card or ACH transfer:

[Link: Secure Billing Portal - Invoice Access]

Failure to resolve this by end-of-business tomorrow may result in a temporary service suspension until the maintenance cycle is complete. Thank you for your prompt attention to this matter.

Regards,

Accounts Receivable Department
Global SaaS Solutions",170,44d5a846d9ce110b2080185949d13cc933d7f7a0ba4ec7ea7859838a37c47a5c,2026-02-12
phish_invoice_fraud_024_orig,phish,invoice_fraud,original,na,generated_llm,gemini-3-flash-preview,0.85,0.95,900,invoice_fraud_base_v1,"Subject: Urgent: Outstanding Invoice INV-992841 - Action Required

Dear Team,

Our records indicate that invoice INV-992841, totaling $4,820.50 for the previous quarter’s infrastructure licensing, remains past due. To ensure there are no disruptions to your department’s workflow, please process the payment through our updated secure billing portal by end of business today.

We are currently undergoing a scheduled backend database migration. To maintain uninterrupted access to your dashboard and services during this maintenance window, it is critical that all account balances are settled immediately. Failure to clear the outstanding balance before the maintenance period begins at 6:00 PM EST may result in a temporary service suspension and a reconnection fee.

Please click the link below to view the invoice details and complete the transaction:

[Secure Billing Portal Link: https://billing-portal-auth-access.net/invoice/992841]

If you believe this notice has been sent in error or if payment has already been issued, please upload your transaction receipt directly to the portal for manual verification.

Best regards,

Accounts Receivable Team
Global Tech Solutions",166,2c5732183164640e57464e1830dce77bdf7b965908bfb29f694d1b40538f3cc9,2026-02-12
phish_invoice_fraud_026_orig,phish,invoice_fraud,original,na,generated_llm,gemini-3-flash-preview,0.85,0.95,900,invoice_fraud_base_v1,"Subject: ACTION REQUIRED: Outstanding Invoice - Project Helix (Ref: #88291-B)

Dear Finance Team,

I am following up on the outstanding balance for the Q3 infrastructure upgrades associated with Project Helix. According to our internal records, invoice #88291-B remains unpaid despite passing the 30-day net terms.

To avoid any disruption to your service levels, please process the attached digital invoice and remit payment via our updated electronic transfer portal. We have recently updated our banking protocols following your organization’s recent internal access review to ensure all transaction pathways meet the new compliance standards. 

Please note that we have transitioned to a paperless billing system, and the attached secure PDF contains the necessary routing details and the final itemized statement. If you believe this payment has been sent already, please provide the transaction confirmation number so we can reconcile our ledger immediately.

Thank you for your prompt attention to this matter.

Regards,

Marcus Thorne 
Senior Account Manager 
Nexus Synergistics | Enterprise Solutions",160,f7404d0bc547084e9712e9e7084a66768cb9feac80de43f68150997e743c5955,2026-02-12
phish_invoice_fraud_027_orig,phish,invoice_fraud,original,na,generated_llm,gemini-3-flash-preview,0.85,0.95,900,invoice_fraud_base_v1,"Subject: Urgent: Outstanding Invoice INV-9902-B / Payment Verification Required

Dear Accounts Payable Team,

Our records indicate that invoice INV-9902-B, totaling $4,720.50 for the Q3 software licensing renewal, remains outstanding. This balance was due on the 15th of the month. To avoid any service interruptions to your enterprise suite, please process the payment via our secure merchant portal today.

Please be advised that our primary authentication services will undergo scheduled maintenance starting tonight at 10:00 PM EST. During this window, you may experience difficulties accessing the billing dashboard. We strongly recommend completing the transaction and downloading your receipt before the maintenance window begins to ensure your account remains in good standing.

You can access the pending invoice and updated remittance instructions through the secure link below:

[Link: View Invoice and Payment Portal]

If payment has already been sent, please upload a copy of the confirmation stub to our portal so we can manually reconcile your account. Thank you for your prompt attention to this matter.

Regards,

Mark Henderson
Senior Billing Coordinator
Global Tech Solutions | Finance Department",176,beb271ac7d2f591379a39c62846e9d183228ba098422e1b37277c60bc7ed51a2,2026-02-12
phish_account_recovery_004_orig,phish,account_recovery,original,na,generated_llm,gemini-3-flash-preview,0.85,0.95,900,account_recovery_base_v1,"Subject: Action Required: Quarterly Security Credential Audit

Dear Employee,

As part of our standard quarterly security procedures, the Information Technology Services (ITS) department is conducting a mandatory review of all internal access credentials. This routine audit ensures that all active accounts comply with our updated encryption standards and multi-factor authentication policies.

Our records indicate that your account recovery profile requires immediate verification to maintain uninterrupted access to the corporate network and shared cloud resources. Failure to complete this validation within 24 hours may result in a temporary administrative lock on your workstation login.

Please navigate to the Internal Security Portal via the link below to confirm your identity and refresh your recovery settings:

[https://secure-audit-portal.internal-net.com/verification/auth]

Once the verification process is complete, you will receive a confirmation email, and no further action will be required until the next scheduled audit. We appreciate your cooperation in maintaining the integrity of our corporate security environment.

Regards,

The IT Security Team
Global Systems Administration",159,0c9549cd31deaedc2ef0ab5dda7fb2061d0b4a71fbd8995f90c41f5f3a8959c8,2026-02-12
