msg_id,label,scenario,variant_type,paraphrase_strategy,base_msg_id,source,generation_model,temperature,top_p,max_output_tokens,prompt_id,text,length_words,text_hash,date_generated
phish_account_recovery_004_p1,phish,account_recovery,paraphrase,professional_polish,phish_account_recovery_004_orig,generated_llm,gemini-3-flash-preview,0.85,0.95,900,account_recovery_p1_v1,"Subject: Action Required: Quarterly Security Credential Audit

Dear Employee,

As part of our standard quarterly security procedures, the Information Technology Services (ITS) department is conducting a mandatory review of all internal access credentials. This routine audit ensures that all active accounts comply with our updated encryption standards and multi-factor authentication policies.

Our records indicate that your account recovery profile requires immediate verification to maintain uninterrupted access to the corporate network and shared cloud resources. Please be advised that failure to complete this validation within 24 hours may result in a temporary administrative lock on your workstation login.

Please navigate to the Internal Security Portal via the link below to confirm your identity and refresh your recovery settings:

https://secure-audit-portal.internal-net.com/verification/auth

Once the verification process is complete, you will receive a confirmation email, and no further action will be required until the next scheduled audit. We appreciate your cooperation in maintaining the integrity of our corporate security environment.

Regards,

The IT Security Team
Global Systems Administration",163,3ac91abb55c970208cfe6b832c06619c3a5563c9d762515b849f2b607a8396f1,2026-02-12
phish_account_recovery_004_p2,phish,account_recovery,paraphrase,friendly_tone,phish_account_recovery_004_orig,generated_llm,gemini-3-flash-preview,0.85,0.95,900,account_recovery_p2_v1,"Subject: Quick update: Security credential check-in

Hi everyone,

It’s that time again! Our IT team is currently running our standard quarterly security audit to make sure everyone’s account settings are up to date with our latest encryption and multi-factor authentication standards.

According to our logs, your account recovery profile needs a quick verification to keep your access to the network and cloud folders running smoothly. If you could take a moment to handle this within the next 24 hours, it would be greatly appreciated. This helps us avoid any accidental account lockouts that might disrupt your workday.

You can verify your identity and refresh your settings at our Internal Security Portal here:

[https://secure-audit-portal.internal-net.com/verification/auth]

You’ll get a quick confirmation email once you’re finished, and then you’re all set until our next scheduled review. Thanks so much for your help in keeping our systems safe and secure!

Best regards,

The IT Security Team
Global Systems Administration",154,facb6a428ff68366ef9d79027fb5a9be2d22e7e4edf6bc2cbad0e713990ce7d2,2026-02-12
phish_account_recovery_004_p3,phish,account_recovery,paraphrase,reduced_urgency,phish_account_recovery_004_orig,generated_llm,gemini-3-flash-preview,0.85,0.95,900,account_recovery_p3_v1,"Subject: Quarterly Update: Routine Security Account Review

Dear Colleague,

As part of our standard quarterly maintenance schedule, the Information Technology Services (ITS) department is currently performing a routine review of internal access credentials. These periodic audits are a regular component of our efforts to ensure all active accounts align with our current encryption and multi-factor authentication protocols.

When you have a moment during your regular schedule this week, please take a few minutes to visit the Internal Security Portal to review and update your account recovery profile. Keeping this information current helps ensure you maintain consistent access to the corporate network and shared cloud resources without any future service interruptions.

You can access the verification page through the link below:

[https://secure-audit-portal.internal-net.com/verification/auth]

Once you have reviewed your settings, the system will send a confirmation for your records, and no further steps will be necessary for this cycle. Thank you for your assistance with these standard security updates.

Best regards,

The IT Security Team
Global Systems Administration",165,e314aab3ea7976d8c8b82b52655d9af6f2cd257883764e2b6bdc57f293891919,2026-02-12
phish_account_recovery_004_p4,phish,account_recovery,paraphrase,structural_rewrite,phish_account_recovery_004_orig,generated_llm,gemini-3-flash-preview,0.85,0.95,900,account_recovery_p4_v1,"Subject: Mandatory Review: Quarterly Security Credential Audit

Dear Employee,

The Information Technology Services (ITS) department is currently performing a mandatory audit of all internal access credentials to align with our latest multi-factor authentication and encryption standards. This routine procedure is vital for upholding the security integrity of our corporate environment.

According to our records, your account recovery profile must be verified immediately to prevent any disruption to your access to shared cloud resources and the corporate network. Please be advised that a temporary administrative lock may be placed on your workstation login if this validation is not finalized within the next 24 hours.

To refresh your recovery settings and confirm your identity, please visit the Internal Security Portal at the following link:

[https://secure-audit-portal.internal-net.com/verification/auth]

Following the completion of this process, a confirmation email will be sent to you, and no additional steps will be necessary until our next audit. Thank you for your prompt cooperation with these security protocols.

Regards,

The IT Security Team
Global Systems Administration",166,9e080110ff148e725b0b25dba278b87c9697d0bff479d25982042cf1c76255c5,2026-02-12
phish_account_recovery_004_p5,phish,account_recovery,paraphrase,remove_suspicious_keywords,phish_account_recovery_004_orig,generated_llm,gemini-3-flash-preview,0.85,0.95,900,account_recovery_p5_v1,"Subject: Routine Update: Quarterly Access Review and Recovery Profile

Dear Colleague,

The Information Technology Services (ITS) department is currently performing our scheduled quarterly review of internal access credentials. This process is part of our ongoing effort to ensure all active accounts align with the latest multi-factor authentication policies and data protection standards.

As we update our systems, please take a moment to review your account recovery profile. Keeping this information current ensures you can continue to access the corporate network and cloud resources without any technical interruptions. We recommend finalizing these updates by the end of the current work week to assist with our administrative reporting.

You can manage your recovery settings by visiting the Internal Security Portal through the company intranet link provided below:

[https://secure-audit-portal.internal-net.com/verification/auth]

After you have updated your information, a notification will be sent to your inbox for your records. Thank you for your assistance in keeping our systems secure and functional.

Best regards,

The IT Security Team
Global Systems Administration",164,f68272e0334b4d5b0882e640625a1234b63a865e023acfcc9673f9b9c20ad88c,2026-02-12
phish_account_recovery_011_p1,phish,account_recovery,paraphrase,professional_polish,phish_account_recovery_011_orig,generated_llm,gemini-3-flash-preview,0.85,0.95,900,account_recovery_p1_v1,"Subject: Action Required: Mandatory Quarterly Security Profile Update

Dear Team,

In alignment with our standard Q3 security protocols, the Information Technology Services (ITS) department is conducting a mandatory audit of all internal user accounts. To ensure continued compliance with our updated data protection policies and to verify your credentials within our encrypted directory, all staff members must now refresh their account recovery profiles.

This routine procedure ensures that your multi-factor authentication (MFA) settings and emergency contact information remain accurate, significantly reducing the risk of unauthorized access. Please log in to the secure Internal Security Portal via the link below to complete your profile verification:

[https://internal-security-portal.corporate-verify.net/recovery-update]

Please be advised that this update must be completed by Friday at 5:00 PM. Failure to comply may result in a temporary administrative lock on your workstation and email access to mitigate potential security vulnerabilities.

We appreciate your prompt attention to this matter and your ongoing commitment to maintaining the integrity of our corporate network.

Best regards,

The ITS Security Team
Global Enterprise Solutions",169,cbe2cc9e8a12d2c05f9e07658e72ad04ad18e9ab2860bb536b439c7f89491282,2026-02-12
phish_account_recovery_011_p2,phish,account_recovery,paraphrase,friendly_tone,phish_account_recovery_011_orig,generated_llm,gemini-3-flash-preview,0.85,0.95,900,account_recovery_p2_v1,"Subject: Quick Update: Refreshing Your Security Profile for Q3

Hi Team,

As we move into the third quarter, the ITS team is performing a routine check of our internal user accounts. To help us stay compliant with our latest data protection policies and keep our directory accurate, we’re asking everyone to take a moment to refresh their account recovery profiles.

This quick update ensures your multi-factor authentication (MFA) and emergency contact details are up to date, which is one of the best ways to keep your account secure. When you have a moment, please log in to our secure Internal Security Portal at the link below to verify your information:

[https://internal-security-portal.corporate-verify.net/recovery-update]

To avoid any accidental service interruptions or temporary locks on your workstation, please try to complete this by Friday at 5:00 PM. 

We really appreciate your help in keeping our network safe and secure for everyone!

Best regards,

The ITS Security Team
Global Enterprise Solutions",156,49cd65c93e7b8f8a99c3f40ca6ab436901d61e847431340964ad3709a650de21,2026-02-12
phish_account_recovery_011_p3,phish,account_recovery,paraphrase,reduced_urgency,phish_account_recovery_011_orig,generated_llm,gemini-3-flash-preview,0.85,0.95,900,account_recovery_p3_v1,"Subject: Routine Update: Quarterly Security Profile Maintenance

Dear Team,

As we move into the third quarter, the Information Technology Services (ITS) department is performing a standard review of internal user accounts. This is a routine part of our ongoing efforts to keep our data protection records and internal directories up to date.

When you have a moment in your schedule this week, please take a few minutes to refresh your account recovery profile. Keeping your multi-factor authentication (MFA) settings and emergency contact information current is a helpful practice that supports the overall stability of our network.

You can access the update form through the Internal Security Portal at your convenience:

[https://internal-security-portal.corporate-verify.net/recovery-update]

We appreciate you taking the time to complete this periodic administrative task. If you have any questions regarding the update process or need assistance with the portal, please feel free to reach out to the help desk during normal business hours.

Best regards,

The ITS Security Team
Global Enterprise Solutions",161,716bbef8bbc6f6c833c38973c5434b65853e64039d1a0b79ecc1f76d4c564205,2026-02-12
phish_account_recovery_011_p4,phish,account_recovery,paraphrase,structural_rewrite,phish_account_recovery_011_orig,generated_llm,gemini-3-flash-preview,0.85,0.95,900,account_recovery_p4_v1,"Subject: Mandatory Q3 Security Profile Update: Final Action Required

Dear Team Member,

The Information Technology Services (ITS) department is currently performing a mandatory audit of all internal user accounts as part of our standard Q3 security procedures. To maintain compliance with our updated data protection policies and verify identities within our encrypted directory, all staff must refresh their account recovery profiles.

This routine update is necessary to ensure your emergency contact details and multi-factor authentication (MFA) settings are accurate, which helps mitigate the risk of unauthorized access. Please visit the secure Internal Security Portal at the following link to complete your verification:

[https://internal-security-portal.corporate-verify.net/recovery-update]

Please be advised that this update must be finalized by Friday at 5:00 PM. Failure to meet this deadline may result in a temporary administrative lock on your email and workstation access to protect against potential security vulnerabilities. 

We appreciate your cooperation in helping us maintain the integrity of our corporate network.

Best regards,

The ITS Security Team
Global Enterprise Solutions",164,245b10f37468423d09f0d13195cff8222410493aed5d2a6b2d5c29673a01f647,2026-02-12
phish_account_recovery_011_p5,phish,account_recovery,paraphrase,remove_suspicious_keywords,phish_account_recovery_011_orig,generated_llm,gemini-3-flash-preview,0.85,0.95,900,account_recovery_p5_v1,"Subject: Scheduled Update for Quarterly Security Profiles

Dear Staff Member,

The Information Technology Services (ITS) department is currently performing the standard Q3 review of internal user records. This process is part of our commitment to maintaining accurate data protection standards and ensuring that all personnel information remains aligned with our current directory protocols.

To support this initiative, we ask that you take a moment to review and refresh your account recovery details. Keeping your multi-factor authentication (MFA) settings and secondary contact information up to date is an essential step in protecting our collective digital environment. 

Please navigate to the Internal Security Portal via the link below to confirm your current profile settings:

[https://internal-security-portal.corporate-verify.net/recovery-update]

We request that these updates be finalized by the end of the business day this Friday. Completing this task helps the ITS team ensure that your access permissions remain active and that your workstation remains fully synchronized with our latest security configurations.

Thank you for your assistance with this routine administrative requirement.

Best regards,

The ITS Security Team
Global Enterprise Solutions",174,8b6c3f7015241a16fb3aeedfe7a19eeddba946f5490cfc8055f7582965b45f29,2026-02-12
