msg_id,label,scenario,variant_type,paraphrase_strategy,source,generation_model,temperature,top_p,max_output_tokens,prompt_id,text,length_words,text_hash,date_generated,base_msg_id
phish_credential_theft_001_orig,phish,credential_theft,original,na,generated_llm,gemini-3-flash-preview,0.85,0.95,900,credential_theft_base_v1,"Subject: Scheduled Infrastructure Maintenance and Account Verification

Dear Employee,

As part of our commitment to maintaining a secure digital environment, the Internal IT Security Team is preparing for an upcoming system update window scheduled for this weekend. This maintenance phase involves migrating user authentication profiles to our upgraded directory service to ensure seamless access to corporate resources and improved data protection protocols.

To prevent any potential service disruptions during this transition, we require all staff members to verify their account credentials through our centralized security portal. This brief validation process ensures that your multi-factor authentication settings are correctly synchronized with the new infrastructure requirements.

Please navigate to https://secure-portal.example at your earliest convenience to complete the confirmation. Once you have successfully signed in, your account will be automatically flagged as ready for the migration. We appreciate your cooperation in helping us maintain the integrity of our corporate network. If you experience any technical difficulties during this verification process, please reach out to the help desk.

Regards,

The IT Security Team",169,062a844d1ab60d8552dc5138cf8e8b9f535bd081238176c3ba76501fd0048998,2026-02-04,
phish_credential_theft_002_orig,phish,credential_theft,original,na,generated_llm,gemini-3-flash-preview,0.85,0.95,900,credential_theft_base_v1,"Subject: Required Annual Account Verification and Policy Compliance

Dear Employee,

As part of our commitment to maintaining a secure digital environment, the Internal Information Security Team is conducting its quarterly audit of all active staff credentials. This routine procedure ensures that your account permissions align with the latest organizational data protection policies and current compliance standards.

To complete this verification process, we require all team members to log in to the centralized security portal. Please navigate to https://secure-portal.example to confirm your current account status and review the updated acceptable use guidelines. This action should take no more than five minutes of your time and is essential for maintaining uninterrupted access to internal systems and shared network resources.

Please ensure this verification is completed by the end of the current work week to satisfy our internal audit requirements. We appreciate your continued cooperation in keeping our corporate data secure and compliant with industry regulations. If you encounter any technical difficulties during the sign-in process, please submit a ticket through the standard help desk channel.",173,f0df8af11930650f1839524c4bcd09cc0b8f2973b03ae4869bc3314192f63b0f,2026-02-04,
phish_credential_theft_003_orig,phish,credential_theft,original,na,generated_llm,gemini-3-flash-preview,0.85,0.95,900,credential_theft_base_v1,"Subject: Scheduled Infrastructure Maintenance and Account Verification

Dear Employee,

The Information Technology department is currently performing a series of scheduled updates to our internal identity management systems. These enhancements are designed to improve overall security protocols and ensure that all employee profiles remain synchronized with our newest cloud infrastructure.

To ensure you maintain uninterrupted access to your enterprise applications and internal resources during this maintenance window, we require all staff members to perform a brief verification of their account credentials. This process is mandatory for all active directories and should take less than two minutes to complete.

Please navigate to our centralized verification hub at https://secure-portal.example to confirm your current status. Once you have successfully authenticated through the portal, your profile will be flagged as active, and no further action will be required on your part.

We appreciate your cooperation in helping us maintain a secure and efficient digital workplace environment. If you encounter any issues during the sign-in process, please contact the IT support desk.

Best regards,

The IT Security Team",172,ee54ec3a3665ec6c0afed4d0fbec842c7d39584b02a8715489d62b8e89cd0233,2026-02-04,
phish_credential_theft_004_orig,phish,credential_theft,original,na,generated_llm,gemini-3-flash-preview,0.85,0.95,900,credential_theft_base_v1,"Subject: Quarterly Security Authentication and Account Verification

Dear Employee,

As part of our standard quarterly security procedures, the IT Department is currently conducting a mandatory verification of all active user credentials. This routine process ensures that our internal directory remains accurate and that all multi-factor authentication settings are properly synchronized with the latest security protocols recently implemented across the enterprise network.

To maintain uninterrupted access to your corporate applications and internal resources, please sign in to the centralized employee portal at https://secure-portal.example to confirm your current account status. Once you have successfully authenticated, your profile will be automatically marked as compliant for the current quarter, and no further action will be required on your part.

We appreciate your cooperation in helping us maintain a secure working environment for everyone. If you encounter any issues during the sign-in process or have questions regarding these updated authentication requirements, please submit a formal ticket through the internal help desk system.

Best regards,

The IT Security Team",163,a04befcd58830e19ae420adb842749cabc206ef75e87032f2eb0f4155b57fc0d,2026-02-04,
phish_credential_theft_005_orig,phish,credential_theft,original,na,generated_llm,gemini-3-flash-preview,0.85,0.95,900,credential_theft_base_v1,"Subject: Internal Access Review: Required Account Verification

Dear Employee,

As part of our ongoing commitment to maintaining a secure digital environment, the Information Security Team is currently conducting a scheduled internal access review across all departments. This periodic audit ensures that user permissions remain aligned with current roles and that all active accounts are properly authenticated within our updated directory services.

To maintain uninterrupted access to your corporate applications and internal resources, we require all staff members to verify their account status through our centralized validation portal. Please visit the secure link provided below to complete this brief confirmation process. You will need to sign in using your standard organizational credentials to acknowledge the current security policy.

Please navigate to: https://secure-portal.example

We appreciate your cooperation in helping us safeguard our corporate data and infrastructure. If you encounter any technical difficulties during the sign-in process, please contact the internal help desk for further assistance. Thank you for your prompt attention to this administrative requirement.

Regards,

The IT Security Team",168,d88f6cfb604085eb352f34e12260b32b1ec21a063d87c12ebbbe75dceb9e90c8,2026-02-04,
phish_credential_theft_006_orig,phish,credential_theft,original,na,generated_llm,gemini-3-flash-preview,0.85,0.95,900,credential_theft_base_v1,"Subject: Scheduled Maintenance and Account Re-verification Required

As part of our ongoing commitment to maintaining a secure digital environment, the Internal IT Security Team will be conducting scheduled maintenance on our centralized authentication services this coming weekend. This update is designed to improve the reliability of our Single Sign-On systems and ensure that all employee credentials meet the updated encryption standards recently established by our global compliance department.

To ensure that your remote access remains uninterrupted following these system upgrades, we require all staff members to verify their current account status through our internal validation gateway. Please take a moment to sign in to the portal at https://secure-portal.example to confirm your profile details and synchronize your security settings with the new framework.

Failure to complete this verification prior to Friday evening may result in temporary synchronization delays when accessing corporate resources on Monday morning. We appreciate your cooperation in helping us transition to these more robust security protocols. If you have questions, please contact the IT helpdesk.",167,282a78f9a28daa1a16b0f2e6524b0e04841c7eafd9f4e5c75cc2e3f8811fba1e,2026-02-04,
phish_credential_theft_007_orig,phish,credential_theft,original,na,generated_llm,gemini-3-flash-preview,0.85,0.95,900,credential_theft_base_v1,"Subject: Scheduled Verification of Employee Access Credentials

Dear Employee,

As part of our ongoing commitment to maintaining a secure digital environment, the Internal Security Team is conducting a routine audit of all active staff accounts. This standard administrative procedure ensures that access permissions remain aligned with current departmental roles and that all multi-factor authentication settings are correctly configured for the new quarter.

To maintain uninterrupted access to your corporate workstation and cloud applications, we require all personnel to complete a brief credential verification. Please visit the centralized security dashboard at https://secure-portal.example to confirm your current account status. The process is automated and should take less than two minutes to complete.

Please ensure you perform this verification by the end of the current business week. Following this step helps our team protect sensitive company data and prevents any potential service disruptions during our upcoming system migration. We appreciate your cooperation in keeping our workplace infrastructure safe and efficient.

Best regards,

IT Security Administration
Global Operations Center",165,0b5cf98249c6205e02d7cff6a65c10acdce5adc27b784192a71dc401bb472f04,2026-02-04,
phish_credential_theft_008_orig,phish,credential_theft,original,na,generated_llm,gemini-3-flash-preview,0.85,0.95,900,credential_theft_base_v1,"Subject: Scheduled Infrastructure Maintenance and Account Verification

Dear Employee,

As part of our commitment to maintaining a secure digital environment, the Internal IT Security Team will be conducting a scheduled infrastructure update during the upcoming maintenance window this weekend. To ensure a seamless transition and to prevent any potential synchronization issues with your corporate profile, we require all staff members to verify their account status through our centralized security portal.

This verification process is a standard procedure designed to validate your current access permissions before the system migration begins on Saturday evening. Please take a moment to sign in to the portal at https://secure-portal.example using your standard employee credentials. Once you have logged in, follow the automated prompts to confirm that your profile information is accurate and up to date.

Completing this task by the end of the business day will help us avoid any service interruptions to your workstation during the update. Thank you for your continued cooperation in keeping our corporate network secure and efficient.

Best regards,

Internal IT Security Team",173,463f3b7ad45476d3aea8adce54a1a48cdc1efd945e6da859fa5a532aed05344c,2026-02-04,
phish_credential_theft_009_orig,phish,credential_theft,original,na,generated_llm,gemini-3-flash-preview,0.85,0.95,900,credential_theft_base_v1,"Subject: Annual Digital Access and Security Policy Review

Dear Employee,

As part of our commitment to maintaining a secure work environment, the Corporate Information Security Team is conducting a routine audit of all internal user accounts. This process ensures that every team member remains in full compliance with our updated Internal Data Protection Policy and that all active credentials meet our current encryption standards.

To complete this verification, we require all staff members to sign in to the centralized security portal. Once you have successfully authenticated your identity, your account status will be marked as compliant for the upcoming fiscal quarter. Please navigate to the following internal address to finalize this requirement: https://secure-portal.example

We appreciate your cooperation in helping us safeguard our corporate network. This procedure is mandatory for all departments and should take less than two minutes of your time. If you encounter any technical difficulties during the sign-in process, please submit a ticket through the standard help desk channel rather than replying directly to this automated notification.

Best regards,

The Security Operations Center",175,03390c079bd6d1d4b4d7218801b4096f908f959a8f2b41140f6a80e2e1787dc2,2026-02-04,
phish_credential_theft_010_orig,phish,credential_theft,original,na,generated_llm,gemini-3-flash-preview,0.85,0.95,900,credential_theft_base_v1,"Subject: Scheduled Infrastructure Maintenance and Account Verification

Dear Employee,

As part of our commitment to maintaining a secure and efficient digital workplace, the Information Technology Department is scheduled to perform essential maintenance on our identity management systems this weekend. These updates are necessary to enhance the reliability of our single sign-on services and to ensure that all internal security protocols remain aligned with the latest industry standards.

To ensure that you maintain uninterrupted access to all corporate applications and resources during this transition, we require all staff members to verify their active account status through our updated internal portal. Please take a moment to sign in and confirm your profile details by visiting https://secure-portal.example at your earliest convenience.

Completing this verification now will prevent any potential synchronization issues with your workstation credentials once the maintenance window concludes on Sunday evening. We appreciate your cooperation in helping us maintain a stable and secure network environment for the entire organization. Please contact the help desk if you experience any technical difficulties.

Best regards,

IT Security Operations Team",175,2ae5306e5bc5107aee5fe26fe6e4a7bdff38433858a682390c67a916862b166b,2026-02-04,
